window,window_start,window_end,signal,expected_parent_surface,attribution_status,classification,signal_count,attributed_signal_count,classification_rate,readout_decision
2,2026-02-21,2026-04-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,3573,0,0.0,hold
2,2026-02-21,2026-04-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,SMALL_CELL_SUPPRESSED,INSUFFICIENT_TRUST_EVIDENCE,0,0,,hold
2,2026-02-21,2026-04-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,112,0,0.0,hold
2,2026-02-21,2026-04-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,37,37,1.0,narrow_review
2,2026-02-21,2026-04-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,244,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,4650,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,706,706,1.0,narrow_review
2,2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,434431,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_CITATION_CLICK,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,127042,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_CITATION_CLICK,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,98,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,2526,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,105079,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,149162,149162,1.0,candidate
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,55859,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,246,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_SESSION,ATTRIBUTABLE_TRUST_SIGNAL,205,205,1.0,candidate
2,2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,15,0,0.0,hold
2,2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,947,947,1.0,candidate
2,2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,2196,0,0.0,hold
