window,window_start,window_end,signal,expected_parent_surface,attribution_status,classification,signal_count,attributed_signal_count,classification_rate,readout_decision
1,2026-03-23,2026-05-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,3351,0,0.0,hold
1,2026-03-23,2026-05-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,SMALL_CELL_SUPPRESSED,INSUFFICIENT_TRUST_EVIDENCE,0,0,,hold
1,2026-03-23,2026-05-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,77,0,0.0,hold
1,2026-03-23,2026-05-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,22,22,1.0,narrow_review
1,2026-03-23,2026-05-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,221,0,0.0,hold
1,2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,3026,0,0.0,hold
1,2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,589,589,1.0,narrow_review
1,2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,278295,0,0.0,hold
1,2026-03-23,2026-05-22,CHAT_CITATION_CLICK,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,1156576,0,0.0,hold
1,2026-03-23,2026-05-22,CHAT_CITATION_CLICK,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,54935,0,0.0,hold
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,3714,0,0.0,hold
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,119188,0,0.0,hold
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,153107,153107,1.0,candidate
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,35878,0,0.0,hold
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,405,0,0.0,hold
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_SESSION,ATTRIBUTABLE_TRUST_SIGNAL,261,261,1.0,candidate
1,2026-03-23,2026-05-22,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,17,0,0.0,hold
1,2026-03-23,2026-05-22,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,864,864,1.0,candidate
1,2026-03-23,2026-05-22,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,1735,0,0.0,hold
