window_start,window_end,verification_event_type,expected_parent_surface,attribution_tier,attribution_result,signal_count,attributed_signal_count,attribution_rate,distinct_signal_users,candidate_parent_count,candidate_surface_count,expected_parent_count,attribution_status
2026-03-23,2026-05-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,3351,0,0.0,2661,3376,3376,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2026-03-23,2026-05-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,NO_PARENT,SMALL_CELL_SUPPRESSED,,,,,,,,SMALL_CELL_SUPPRESSED
2026-03-23,2026-05-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,77,0,0.0,23,154,154,77,TRUST_ATTRIBUTION_AMBIGUOUS
2026-03-23,2026-05-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,22,22,1.0,22,22,22,22,TRUST_ATTRIBUTION_STRICT
2026-03-23,2026-05-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,NO_PARENT,NO_PARENT,221,0,0.0,78,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,3026,0,0.0,135,3026,3026,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,589,589,1.0,98,589,589,589,TRUST_ATTRIBUTION_STRICT
2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,NO_PARENT,NO_PARENT,278295,0,0.0,34228,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2026-03-23,2026-05-22,CHAT_CITATION_CLICK,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,1156576,0,0.0,261188,1156576,1156576,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2026-03-23,2026-05-22,CHAT_CITATION_CLICK,workflow:CHAT,NO_PARENT,NO_PARENT,54935,0,0.0,31131,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,3714,0,0.0,2699,3756,7420,3756,TRUST_ATTRIBUTION_AMBIGUOUS
2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,119188,0,0.0,51398,119188,119188,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,153107,153107,1.0,59897,153107,153107,153107,TRUST_ATTRIBUTION_STRICT
2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,NO_PARENT,NO_PARENT,35878,0,0.0,13133,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,SESSION_PARENT_KEY,AMBIGUOUS_PARENT,405,0,0.0,308,1775,405,1775,TRUST_ATTRIBUTION_AMBIGUOUS
2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,SESSION_PARENT_KEY,SESSION_PARENT_ATTRIBUTION,261,261,1.0,206,261,261,261,TRUST_ATTRIBUTION_SESSION
2026-03-23,2026-05-22,SEARCH_FEEDBACK,standalone:SEARCH,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,17,0,0.0,12,34,34,17,TRUST_ATTRIBUTION_AMBIGUOUS
2026-03-23,2026-05-22,SEARCH_FEEDBACK,standalone:SEARCH,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,864,864,1.0,507,864,864,864,TRUST_ATTRIBUTION_STRICT
2026-03-23,2026-05-22,SEARCH_FEEDBACK,standalone:SEARCH,NO_PARENT,NO_PARENT,1735,0,0.0,1187,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
