window_start,window_end,verification_event_type,expected_parent_surface,joined_parent_surface,total_signal_count,signal_count_with_user_key,signal_count_with_join_key,distinct_signal_users,joined_signal_count,joined_surface_count,joined_user_count,signal_join_rate,availability_status
2026-02-21,2026-04-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,standalone:AI_SUMMARY,3643,3643,3643,2595,27,27,19,0.007411474059840791,PARTIAL_JOIN
2026-02-21,2026-04-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,standalone:SEARCH,3643,3643,3643,2595,3573,3294,2594,0.9807850672522647,JOINABLE
2026-02-21,2026-04-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,standalone:AI_SUMMARY,393,393,231,162,149,109,72,0.3791348600508906,PARTIAL_JOIN
2026-02-21,2026-04-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,standalone:SEARCH,393,393,231,162,112,71,41,0.28498727735368956,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,workflow:AGENT,439811,439811,439811,38515,526,526,147,0.0011959682681879262,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,workflow:AGENT_LIVE_PREVIEW,439811,439811,439811,38515,104,104,23,2.3646520891928578E-4,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,workflow:CHAT,439811,439811,439811,38515,706,706,140,0.001605234975932844,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,workflow:GLEANBOT,439811,439811,439811,38515,46,46,20,1.0459038086814563E-4,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,workflow:UNSPECIFIED,439811,439811,439811,38515,3974,3974,8,0.009035699425435017,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_CITATION_CLICK,workflow:CHAT,standalone:SEARCH,127143,127143,127143,43325,127045,93744,43317,0.9992292143491973,JOINABLE
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,standalone:AUTOCOMPLETE,313122,313122,294844,99471,171200,115308,59953,0.5467517453261029,JOINABLE
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,standalone:GLEAN_BOT_ACTIVITY,313122,313122,294844,99471,60,31,26,1.9161860233391458E-4,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,standalone:SEARCH,313122,313122,294844,99471,197250,132884,72363,0.6299461551727442,JOINABLE
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:AGENT,313122,313122,294844,99471,138384,65215,23461,0.4419491444229406,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:AGENT_LIVE_PREVIEW,313122,313122,294844,99471,58288,25308,3440,0.18615108488065354,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:AI_ANSWER,313122,313122,294844,99471,5611,3312,1764,0.017919532961593244,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:AI_FEED,313122,313122,294844,99471,10,10,2,3.1936433722319094E-5,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:CHAT,313122,313122,294844,99471,692801,414723,59824,2.212559321925639,JOINABLE
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:EMBEDDED_INTEGRATION_SUPPORT,313122,313122,294844,99471,2210,1670,242,0.00705795185263252,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:GLEANBOT,313122,313122,294844,99471,118017,77572,27746,0.3769042098606933,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:INLINE_MENU,313122,313122,294844,99471,2703,2309,880,0.008632418035142852,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:INTERACTIVE_COMPILER,313122,313122,294844,99471,5878,3935,2281,0.018772235741979164,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:PRISM,313122,313122,294844,99471,6,3,1,1.916186023339146E-5,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:SPACES,313122,313122,294844,99471,102,40,14,3.2575162396765477E-4,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:SUPPORT_NEXT_STEPS,313122,313122,294844,99471,1596,1149,207,0.005097054822082127,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:UNSPECIFIED,313122,313122,294844,99471,5294,3135,791,0.01690714801259573,PARTIAL_JOIN
2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,workflow:VOICE_CHAT,313122,313122,294844,99471,295,169,74,9.421247948084133E-4,PARTIAL_JOIN
2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,standalone:AI_SUMMARY,3158,3158,1131,1853,15,14,10,0.004749841671944269,PARTIAL_JOIN
2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,standalone:SEARCH,3158,3158,1131,1853,962,908,582,0.3046231792273591,PARTIAL_JOIN
